CD_CVM,CNPJ,DENOM_SOCIAL,SIT,DT_INI_SIT,TP_ENDER,LOGRADOURO,COMPL,BAIRRO,MUN,UF,CEP
12203,11.948.133/0001-00,SGA AUDITORES INDEPENDENTES,ATIVO,2014-10-13,SEDE,"RUA TIJUCO PRETO, 393",CONJUNTO 94,TATUAPÉ,SÃO PAULO,SP,3316000
9253,02.398.578/0001-73,SGS AUDITORES INDEPENDENTES LTDA,ATIVO,2002-03-07,SEDE,"Avenida Queiroz Filho, 1700","TORRE D, SALA 608",Vila Hamburguesa,SÃO PAULO,SP,5319000
2356,50.332.527/0001-91,SICON AUDITORES INDEPENDENTES,SUSPENSO(A) - DECISÃO ADM,2023-06-28,SEDE,"R MARQUES DE ITU, 70",1ª ANDAR,VILA BUARQUE,SÃO PAULO,SP,1223000
9237,71.753.164/0001-38,SIMIONATO AUDITORES INDEPENDENTES,ATIVO,2002-01-22,SEDE,"RUA RAFAEL ANDRADE DUARTE, 232",,NOVA CAMPINAS,CAMPINAS,SP,13092180
11746,72.557.549/0001-92,SIQUEIRA & ASSOCIADOS AUDITORES INDEPENDENTES,ATIVO,2012-02-29,SEDE,"RUA DA GLÓRIA, 314",CONJ. 22,CENTRO CÍVICO,CURITIBA,PR,80030060
2011,07.326.762/0001-21,SISTEMA AUDITORES INDEPENDENTES,ATIVO,1984-01-17,SEDE,"AV DOM LUIS, 500",15.AND SL 1515,ALDEOTA,FORTALEZA,CE,60160230
8869,01.350.715/0001-37,SR - AUDITORES E CONSULTORES S/S,ATIVO,2001-01-18,SEDE,"RUA DOUTOR BOLIVAR DE ABREU, 45",,BENTO FERREIRA,VITÓRIA,ES,29050685
11517,07.791.963/0001-08,STAFF AUDITORIA & ASSESSORIA,ATIVO,2010-12-08,SEDE,"Rua Doutor Las Casas dos Santos, 68",conjunto 61,São Bernardo,CAMPINAS,SP,13030490
4499,79.366.092/0001-88,STEINBACH & AUDITORES ASSOCIADOS,ATIVO,1989-02-22,SEDE,"Rua Sete de Setembro, 1600",Sala  709 - Tarumã Office,Centro,BLUMENAU,SC,89010204
7463,01.420.601/0001-16,TAG AUDITORIA E CONSULTORIA EMPRESARIAL S/S,ATIVO,1999-02-22,SEDE,"PRAÇA TIRADENTES, 10",SL. 402,CENTRO,RIO DE JANEIRO,RJ,20060070
12220,20.840.718/0001-01,TATICCA AUDITORES INDEPENDENTES S.S. - EPP,ATIVO,2014-11-03,SEDE,"RUA DOUTOR GERALDO CAMPOS MOREIRA, 375",SALA 51,CIDADE MONÇÕES,SÃO PAULO,SP,4571020
12220,20.840.718/0001-01,TATICCA AUDITORES INDEPENDENTES S.S. - EPP,ATIVO,2014-11-03,FILIAL PORTO ALEGRE,"ALAMEDA COELHO NETO, 40",SL. 301,BOA VISTA,PORTO ALEGRE,RS,91340340
12220,20.840.718/0001-01,TATICCA AUDITORES INDEPENDENTES S.S. - EPP,ATIVO,2014-11-03,FILIAL BLUMENAU,"RUA ALWIN SCHRADER, 223",SL. 304,CENTRO,BLUMENAU,SC,89015000
12220,20.840.718/0001-01,TATICCA AUDITORES INDEPENDENTES S.S. - EPP,ATIVO,2014-11-03,FILIAL BELO HORIZONTE,"RUA PARAÍBA, 550",SL. 900,SAVASSI,BELO HORIZONTE,MG,30130141
8320,03.566.241/0001-90,TBRT AUDITORES INDEPENDENTES SOCIEDADE SIMPLES,ATIVO,2000-02-02,SEDE,"AVENIDA DR LUIZ GAMBETA SARMENTO, 454",,SANTO ANTONIO,SÃO JOÃO DA BOA VISTA,SP,13871200
5878,66.865.544/0001-24,TECNOAUD AUDITORES INDEPENDENTES S/S,ATIVO,1993-07-27,SEDE,"RUA MARTINIANO DE CARVALHO, 864",11º ANDAR CJ 1104,PARAÍSO,SÃO PAULO,SP,1321000
